timestamp,位移X,位移Y,位移Z,加速度X,加速度Y,加速度Z,加速度幅值X,加速度幅值Y,加速度幅值Z,温度,速度X,速度Y,速度Z,频率X,频率Y,频率Z
1782921602.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7,0.0,0.0,0.0,0.0,0.0,0.0
1782921607.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7,0.0,0.0,0.0,0.0,0.0,0.0
1782921612.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.71,0.0,0.0,0.0,0.0,0.0,0.0
1782921618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.71,0.0,0.0,0.0,0.0,0.0,0.0
1782921623.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.71,0.0,0.0,0.0,0.0,0.0,0.0
1782921628.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.71,0.0,0.0,0.0,0.0,0.0,0.0
1782921633.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.72,0.0,0.0,0.0,0.0,0.0,0.0
1782921638.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.72,0.0,0.0,0.0,0.0,0.0,0.0
1782921643.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.73,0.0,0.0,0.0,0.0,0.0,0.0
1782921648.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.73,0.0,0.0,0.0,0.0,0.0,0.0
1782921653.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.73,0.0,0.0,0.0,0.0,0.0,0.0
1782921658.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.74,0.0,0.0,0.0,0.0,0.0,0.0
1782921663.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.74,0.0,0.0,0.0,0.0,0.0,0.0
1782921668.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.75,0.0,0.0,0.0,0.0,0.0,0.0
1782921673.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.75,0.0,0.0,0.0,0.0,0.0,0.0
1782921678.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.76,0.0,0.0,0.0,0.0,0.0,0.0
1782921683.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.76,0.0,0.0,0.0,0.0,0.0,0.0
1782921688.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.76,0.0,0.0,0.0,0.0,0.0,0.0
1782921693.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.77,0.0,0.0,0.0,0.0,0.0,0.0
1782921698.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.77,0.0,0.0,0.0,0.0,0.0,0.0
1782921703.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.77,0.0,0.0,0.0,0.0,0.0,0.0
1782921708.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.78,0.0,0.0,0.0,0.0,0.0,0.0
1782921713.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.78,0.0,0.0,0.0,0.0,0.0,0.0
1782921718.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.78,0.0,0.0,0.0,0.0,0.0,0.0
1782921723.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.79,0.0,0.0,0.0,0.0,0.0,0.0
1782921728.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.79,0.0,0.0,0.0,0.0,0.0,0.0
1782921733.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.79,0.0,0.0,0.0,0.0,0.0,0.0
1782921738.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8,0.0,0.0,0.0,0.0,0.0,0.0
