timestamp,humidity,temperature
1782921602.966,64.8,24.2
1782921607.98,64.5,24.2
1782921612.984,64.1,24.2
1782921617.999,63.8,24.2
1782921623.008,63.6,24.2
1782921628.023,63.5,24.2
1782921633.035,63.6,24.2
1782921638.046,63.7,24.2
1782921643.057,63.8,24.2
1782921648.07,63.8,24.2
1782921653.082,63.9,24.3
1782921658.092,63.9,24.2
1782921663.096,64.0,24.2
1782921668.111,63.9,24.3
1782921673.126,63.9,24.2
1782921678.135,63.9,24.3
1782921683.144,64.0,24.3
1782921688.154,63.9,24.3
1782921693.166,63.9,24.3
1782921698.179,63.8,24.3
1782921703.19,63.8,24.3
1782921708.204,63.8,24.3
1782921713.214,63.8,24.3
1782921718.224,63.8,24.3
1782921723.238,63.7,24.3
1782921728.251,63.7,24.3
1782921733.262,63.7,24.3
1782921738.274,63.6,24.3
1782921743.282,63.6,24.3
1782921748.297,63.6,24.3
1782921753.312,63.6,24.3
1782921758.32,63.6,24.3
1782921763.334,63.6,24.3
1782921768.341,63.5,24.3
1782921773.356,63.4,24.3
1782921778.369,63.3,24.3
1782921783.384,63.3,24.3
1782921788.395,63.2,24.3
1782921793.408,63.2,24.3
1782921798.418,63.2,24.3
1782921803.428,63.1,24.3
1782921808.438,63.2,24.4
1782921813.449,63.1,24.4
1782921818.455,63.1,24.4
1782921823.468,63.1,24.4
1782921828.478,63.1,24.4
1782921833.485,63.1,24.4
1782921838.496,63.0,24.4
1782921843.506,62.9,24.4
1782921848.517,62.9,24.4
1782921853.523,63.0,24.4
1782921858.53,63.0,24.4
1782921863.54,63.0,24.4
1782921868.543,62.9,24.4
1782921873.556,62.9,24.4
1782921878.564,62.8,24.4
1782921883.576,62.8,24.4
1782921888.59,62.8,24.4
1782921893.603,62.6,24.5
1782921898.613,62.6,24.4
1782921903.629,62.7,24.4
1782921908.643,62.8,24.5
1782921913.654,62.8,24.5
1782921918.666,62.8,24.5
1782921923.675,62.9,24.5
1782921928.684,63.0,24.5
1782921933.701,63.0,24.5
1782921938.712,62.9,24.5
1782921943.724,62.8,24.5
1782921948.736,62.8,24.5
1782921953.749,62.8,24.5
1782921958.764,62.7,24.5
1782921963.778,62.7,24.5
1782921968.784,62.8,24.5
1782921973.793,62.8,24.5
1782921978.808,62.8,24.5
1782921983.818,62.8,24.6
1782921988.83,62.7,24.5
1782921993.846,62.7,24.6
1782921998.856,62.6,24.6
1782922003.871,62.6,24.6
1782922008.879,62.6,24.6
1782922013.887,62.5,24.6
1782922018.897,62.5,24.6
1782922023.908,62.5,24.6
1782922028.911,62.5,24.6
1782922033.922,62.5,24.6
1782922038.93,62.4,24.6
1782922043.94,62.5,24.6
1782922048.95,62.5,24.6
1782922053.96,62.5,24.7
1782922058.969,62.4,24.6
1782922063.979,62.3,24.7
1782922068.989,62.3,24.7
1782922073.998,62.2,24.7
1782922079.004,62.3,24.7
1782922084.012,62.2,24.7
1782922089.022,62.1,24.7
1782922094.028,62.1,24.7
1782922099.038,62.1,24.7
1782922104.048,62.2,24.7
1782922109.063,62.1,24.7
1782922114.074,62.0,24.7
1782922119.086,62.0,24.7
1782922124.098,62.1,24.7
1782922129.103,62.1,24.7
1782922134.111,62.1,24.7
1782922139.12,62.1,24.8
1782922144.134,62.1,24.8
1782922149.148,62.2,24.8
1782922154.159,62.2,24.8
1782922159.166,62.2,24.8
