timestamp,humidity,temperature
1783440000.895,68.4,23.9
1783440001.918,68.4,23.9
1783440002.94,68.4,23.9
1783440003.962,68.3,23.9
1783440004.984,68.3,23.9
1783440006.006,68.3,23.9
1783440007.028,68.4,23.9
1783440008.052,68.3,23.9
1783440009.076,68.3,23.9
1783440010.099,68.3,23.9
1783440011.121,68.3,23.9
1783440012.143,68.3,23.9
1783440013.165,68.3,23.9
1783440014.187,68.3,23.9
1783440015.209,68.2,23.9
1783440016.231,68.2,23.9
1783440017.254,68.2,23.9
1783440018.276,68.2,23.9
1783440019.299,68.2,23.9
1783440020.321,68.2,23.9
1783440021.344,68.2,23.9
1783440022.366,68.1,23.9
1783440023.389,68.1,23.9
1783440024.411,68.1,23.9
1783440025.433,68.0,23.9
1783440026.456,68.0,23.9
1783440027.478,68.0,23.9
1783440028.504,67.9,23.9
1783440029.527,67.9,23.9
1783440030.55,67.9,23.9
1783440031.573,67.9,23.9
1783440032.595,67.9,23.9
1783440033.618,67.9,23.9
1783440034.641,67.9,23.9
1783440035.663,67.9,23.9
1783440036.685,67.9,23.9
1783440037.708,67.9,23.9
1783440038.73,67.9,23.9
1783440039.753,67.9,23.9
1783440040.775,67.9,23.9
1783440041.798,67.9,23.9
1783440042.821,67.9,23.9
1783440043.843,67.9,23.9
1783440044.866,67.9,23.9
1783440045.888,67.9,23.9
1783440046.911,67.9,23.9
1783440047.933,67.9,23.9
1783440048.957,67.9,23.9
1783440049.98,67.8,23.9
1783440051.002,67.9,23.9
1783440052.025,67.8,23.9
1783440053.047,67.8,23.9
1783440054.07,67.8,23.9
1783440055.092,67.8,23.9
1783440056.115,67.8,23.9
1783440057.137,67.8,23.9
1783440058.16,67.8,23.9
1783440059.183,67.8,23.9
1783440060.205,67.8,23.9
1783440061.228,67.7,23.9
1783440062.25,67.8,23.9
1783440063.272,67.7,23.9
1783440064.295,67.7,23.9
1783440065.317,67.7,23.9
1783440066.34,67.7,23.9
1783440067.362,67.7,23.9
1783440068.386,67.7,23.9
1783440069.411,67.6,23.9
1783440070.435,67.6,23.9
1783440071.457,67.6,23.9
1783440072.479,67.6,23.9
1783440073.502,67.6,24.0
1783440074.524,67.6,24.0
1783440075.547,67.7,23.9
1783440076.569,67.7,24.0
1783440077.592,67.7,23.9
1783440078.614,67.7,24.0
1783440079.637,67.7,23.9
1783440080.659,67.7,23.9
1783440081.682,67.7,24.0
1783440082.705,67.7,24.0
1783440083.727,67.7,24.0
1783440084.75,67.7,24.0
1783440085.773,67.7,24.0
1783440086.796,67.7,23.9
1783440087.819,67.7,24.0
1783440088.844,67.7,24.0
1783440089.866,67.7,24.0
1783440090.889,67.6,24.0
1783440091.912,67.6,24.0
1783440092.934,67.5,24.0
1783440093.956,67.5,24.0
1783440094.979,67.5,24.0
1783440096.001,67.5,24.0
1783440097.023,67.5,24.0
1783440098.046,67.5,24.0
1783440099.068,67.5,24.0
1783440100.091,67.5,24.0
1783440101.114,67.5,24.0
1783440102.136,67.5,24.0
1783440103.159,67.4,24.0
1783440104.181,67.4,24.0
1783440105.203,67.4,24.0
1783440106.225,67.4,24.0
1783440107.247,67.4,24.0
1783440108.271,67.4,24.0
1783440109.295,67.4,24.0
1783440110.317,67.4,24.0
1783440111.34,67.4,24.0
1783440112.362,67.4,24.0
1783440113.385,67.4,24.0
1783440114.407,67.4,24.0
1783440115.43,67.4,24.0
1783440116.452,67.4,24.0
1783440117.475,67.4,24.0
1783440118.498,67.4,24.0
1783440119.521,67.5,24.0
1783440120.544,67.5,24.0
1783440121.566,67.5,24.0
1783440122.589,67.5,24.0
1783440123.611,67.6,24.0
1783440124.634,67.6,24.0
1783440125.656,67.7,24.0
1783440126.678,67.7,24.0
1783440127.702,67.7,24.0
1783440128.727,67.8,24.0
1783440129.749,67.8,24.0
1783440130.771,67.8,24.0
1783440131.794,67.9,24.0
1783440132.817,67.9,24.0
1783440133.839,67.9,24.0
1783440134.861,68.0,24.0
1783440135.883,68.0,24.0
1783440136.906,68.0,24.0
1783440137.929,68.1,24.0
1783440138.951,68.1,24.0
1783440139.974,68.1,24.0
1783440140.996,68.1,24.0
1783440142.019,68.1,24.0
1783440143.041,68.1,24.0
1783440144.064,68.1,24.0
1783440145.086,68.1,24.0
1783440146.109,68.0,24.0
1783440147.131,68.0,24.0
1783440148.155,68.0,24.0
1783440149.179,67.9,24.0
1783440150.202,67.9,24.0
1783440151.224,67.9,24.0
1783440152.246,67.9,24.0
1783440153.269,67.8,24.0
1783440154.292,67.8,24.0
1783440155.314,67.8,24.0
1783440156.337,67.8,24.0
1783440157.359,67.8,24.1
1783440158.382,67.8,24.0
1783440159.405,67.7,24.0
1783440160.427,67.7,24.0
1783440161.449,67.7,24.0
1783440162.472,67.6,24.1
1783440163.495,67.5,24.1
1783440164.517,67.4,24.0
1783440165.54,67.3,24.1
1783440166.562,67.2,24.0
1783440167.585,67.1,24.0
