timestamp,wind_angle,wind_dir_code,wind_direction,wind_level,wind_speed_kmh,wind_speed_ms
1782748800.823,198.8,9.0,南西南,0.0,0.0,0.0
1782748805.833,198.8,9.0,南西南,0.0,0.0,0.0
1782748810.847,198.8,9.0,南西南,0.0,0.0,0.0
1782748815.854,198.8,9.0,南西南,0.0,0.0,0.0
1782748820.868,198.8,9.0,南西南,0.0,0.0,0.0
1782748825.879,198.8,9.0,南西南,0.0,0.0,0.0
1782748830.882,198.8,9.0,南西南,0.0,0.0,0.0
1782748835.895,198.8,9.0,南西南,0.0,0.0,0.0
1782748840.905,198.8,9.0,南西南,0.0,0.0,0.0
1782748845.914,198.8,9.0,南西南,0.0,0.0,0.0
1782748850.926,198.8,9.0,南西南,0.0,0.0,0.0
1782748855.934,198.8,9.0,南西南,0.0,0.0,0.0
1782748860.943,198.8,9.0,南西南,0.0,0.0,0.0
1782748865.951,198.8,9.0,南西南,0.0,0.0,0.0
1782748870.963,198.8,9.0,南西南,0.0,0.0,0.0
1782748875.971,198.8,9.0,南西南,0.0,0.0,0.0
1782748880.984,198.8,9.0,南西南,0.0,0.0,0.0
1782748885.994,198.8,9.0,南西南,0.0,0.0,0.0
1782748891.004,198.8,9.0,南西南,0.0,0.0,0.0
1782748896.017,198.8,9.0,南西南,0.0,0.0,0.0
1782748901.021,198.8,9.0,南西南,0.0,0.0,0.0
1782748906.037,198.8,9.0,南西南,0.0,0.0,0.0
1782748911.049,198.8,9.0,南西南,0.0,0.0,0.0
1782748916.06,198.8,9.0,南西南,0.0,0.0,0.0
1782748921.073,198.8,9.0,南西南,0.0,0.0,0.0
1782748926.086,198.8,9.0,南西南,0.0,0.0,0.0
1782748931.094,198.8,9.0,南西南,0.0,0.0,0.0
1782748936.106,198.8,9.0,南西南,0.0,0.0,0.0
1782748941.119,198.8,9.0,南西南,0.0,0.0,0.0
1782748946.131,198.8,9.0,南西南,0.0,0.0,0.0
1782748951.145,198.8,9.0,南西南,0.0,0.0,0.0
1782748956.152,198.8,9.0,南西南,0.0,0.0,0.0
1782748961.16,198.8,9.0,南西南,0.0,0.0,0.0
1782748966.173,198.8,9.0,南西南,0.0,0.0,0.0
1782748971.181,198.8,9.0,南西南,0.0,0.0,0.0
1782748976.186,198.8,9.0,南西南,0.0,0.0,0.0
1782748981.197,198.8,9.0,南西南,0.0,0.0,0.0
1782748986.209,198.8,9.0,南西南,0.0,0.0,0.0
1782748991.219,198.8,9.0,南西南,0.0,0.0,0.0
1782748996.232,198.8,9.0,南西南,0.0,0.0,0.0
1782749001.24,198.8,9.0,南西南,0.0,0.0,0.0
1782749006.254,198.8,9.0,南西南,0.0,0.0,0.0
1782749011.266,198.8,9.0,南西南,0.0,0.0,0.0
1782749016.273,198.8,9.0,南西南,0.0,0.0,0.0
1782749021.287,198.8,9.0,南西南,0.0,0.0,0.0
1782749026.297,198.8,9.0,南西南,0.0,0.0,0.0
1782749031.304,198.8,9.0,南西南,0.0,0.0,0.0
1782749036.319,198.8,9.0,南西南,0.0,0.0,0.0
1782749041.33,198.8,9.0,南西南,0.0,0.0,0.0
1782749046.342,198.8,9.0,南西南,0.0,0.0,0.0
1782749051.354,198.8,9.0,南西南,0.0,0.0,0.0
1782749056.368,198.8,9.0,南西南,0.0,0.0,0.0
1782749061.377,198.8,9.0,南西南,0.0,0.0,0.0
1782749066.391,198.8,9.0,南西南,0.0,0.0,0.0
1782749071.4,198.8,9.0,南西南,0.0,0.0,0.0
1782749076.402,198.8,9.0,南西南,0.0,0.0,0.0
1782749081.416,198.8,9.0,南西南,0.0,0.0,0.0
1782749086.426,198.8,9.0,南西南,0.0,0.0,0.0
1782749091.439,198.8,9.0,南西南,0.0,0.0,0.0
1782749096.453,198.8,9.0,南西南,0.0,0.0,0.0
1782749101.461,198.8,9.0,南西南,0.0,0.0,0.0
1782749106.472,198.8,9.0,南西南,0.0,0.0,0.0
1782749111.483,198.8,9.0,南西南,0.0,0.0,0.0
1782749116.488,198.8,9.0,南西南,0.0,0.0,0.0
1782749121.501,198.8,9.0,南西南,0.0,0.0,0.0
1782749126.515,198.8,9.0,南西南,0.0,0.0,0.0
1782749131.522,198.8,9.0,南西南,0.0,0.0,0.0
1782749136.534,198.8,9.0,南西南,0.0,0.0,0.0
1782749141.545,198.8,9.0,南西南,0.0,0.0,0.0
1782749146.55,198.8,9.0,南西南,0.0,0.0,0.0
1782749151.563,198.8,9.0,南西南,0.0,0.0,0.0
1782749156.579,198.8,9.0,南西南,0.0,0.0,0.0
1782749161.588,198.8,9.0,南西南,0.0,0.0,0.0
1782749166.6,198.8,9.0,南西南,0.0,0.0,0.0
1782749171.609,198.8,9.0,南西南,0.0,0.0,0.0
1782749176.615,198.8,9.0,南西南,0.0,0.0,0.0
1782749181.628,198.8,9.0,南西南,0.0,0.0,0.0
1782749186.637,198.8,9.0,南西南,0.0,0.0,0.0
1782749191.649,198.8,9.0,南西南,0.0,0.0,0.0
1782749196.659,198.8,9.0,南西南,0.0,0.0,0.0
1782749201.668,198.8,9.0,南西南,0.0,0.0,0.0
1782749206.675,198.8,9.0,南西南,0.0,0.0,0.0
1782749211.688,198.8,9.0,南西南,0.0,0.0,0.0
1782749216.694,198.8,9.0,南西南,0.0,0.0,0.0
1782749221.705,198.8,9.0,南西南,0.0,0.0,0.0
1782749226.717,198.8,9.0,南西南,0.0,0.0,0.0
1782749231.724,198.8,9.0,南西南,0.0,0.0,0.0
1782749236.733,198.8,9.0,南西南,0.0,0.0,0.0
1782749241.743,198.8,9.0,南西南,0.0,0.0,0.0
1782749246.749,198.8,9.0,南西南,0.0,0.0,0.0
1782749251.765,198.8,9.0,南西南,0.0,0.0,0.0
1782749256.772,198.8,9.0,南西南,0.0,0.0,0.0
1782749261.786,198.8,9.0,南西南,0.0,0.0,0.0
1782749266.799,198.8,9.0,南西南,0.0,0.0,0.0
1782749271.808,198.8,9.0,南西南,0.0,0.0,0.0
1782749276.822,198.8,9.0,南西南,0.0,0.0,0.0
1782749281.834,198.8,9.0,南西南,0.0,0.0,0.0
1782749286.84,198.8,9.0,南西南,0.0,0.0,0.0
1782749291.85,198.8,9.0,南西南,0.0,0.0,0.0
1782749296.864,198.8,9.0,南西南,0.0,0.0,0.0
1782749301.874,198.8,9.0,南西南,0.0,0.0,0.0
1782749306.885,198.8,9.0,南西南,0.0,0.0,0.0
1782749311.896,198.8,9.0,南西南,0.0,0.0,0.0
1782749316.898,198.8,9.0,南西南,0.0,0.0,0.0
1782749321.912,198.8,9.0,南西南,0.0,0.0,0.0
1782749326.925,198.8,9.0,南西南,0.0,0.0,0.0
