timestamp,hour_rain,instant_rain,last_hour_rain,max_24h_rain,max_24h_time,min_24h_rain,min_24h_time,today_rain,total_rain,yesterday_rain
1782748800.819,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748805.835,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748810.846,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748815.858,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748820.87,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748825.877,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748830.886,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748835.896,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748840.903,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748845.909,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748850.925,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748855.933,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748860.945,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748865.952,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748870.958,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748875.973,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748880.983,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748885.992,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748891.005,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748896.016,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748901.026,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748906.038,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748911.05,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748916.062,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748921.071,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748926.083,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748931.095,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748936.107,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748941.118,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748946.133,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748951.144,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748956.151,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748961.161,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748966.17,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748971.179,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748976.189,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748981.199,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748986.212,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748991.218,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782748996.231,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749001.243,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749006.256,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749011.269,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749016.275,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749021.285,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749026.296,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749031.307,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749036.316,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749041.328,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749046.343,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749051.355,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749056.365,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749061.375,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749066.387,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749071.396,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749076.406,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749081.419,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749086.428,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749091.437,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749096.452,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749101.464,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749106.474,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749111.481,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749116.491,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749121.502,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749126.511,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749131.52,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749136.532,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749141.54,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749146.552,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749151.566,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749156.573,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749161.587,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749166.599,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749171.612,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749176.62,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
1782749181.625,0.0,0.0,0.0,0.3,11:12,0.0,00:01,0.0,7.1,0.3
