timestamp,位移X,位移Y,位移Z,加速度X,加速度Y,加速度Z,加速度幅值X,加速度幅值Y,加速度幅值Z,温度,速度X,速度Y,速度Z,频率X,频率Y,频率Z
1782712854.236,0.0,0.0,0.0,0.6011,0.7954,0.0298,0.0137,0.0146,0.0151,25.39,0.11,0.11,0.09,34.9,32.7,83.6
1782712859.25,0.0,0.0,0.0,0.6011,0.7954,0.0298,0.0137,0.0142,0.0151,25.39,0.03,0.03,0.02,0.0,0.0,0.0
1782712864.256,0.0,0.0,0.0,0.6011,0.7954,0.0298,0.0137,0.0146,0.0151,25.39,0.14,0.16,0.13,0.0,0.0,0.0
1782712869.268,0.0,0.0,0.0,0.6011,0.7954,0.0298,0.0142,0.0142,0.0166,25.38,0.13,0.14,0.12,15.6,32.7,34.4
1782712874.276,0.0,0.0,0.0,0.6011,0.7954,0.0298,0.0142,0.0142,0.0151,25.38,0.05,0.05,0.05,118.6,32.7,63.2
1782712879.289,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0142,0.0137,0.0146,25.38,0.0,0.0,0.0,0.0,0.0,0.0
1782712884.296,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0132,0.0137,0.0146,25.38,0.0,0.0,0.0,0.0,0.0,0.0
1782712889.307,0.004,0.004,0.004,0.6006,0.7954,0.0298,0.0132,0.0142,0.0156,25.38,0.51,0.54,0.46,83.8,32.7,17.8
1782712894.315,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0142,0.0151,0.0151,25.37,0.0,0.0,0.0,0.0,0.0,0.0
1782712899.324,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0137,0.0146,0.0142,25.37,0.02,0.02,0.02,0.0,0.0,0.0
1782712904.332,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0132,0.0146,0.0146,25.37,0.0,0.0,0.0,0.0,0.0,0.0
1782712909.337,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0137,0.0146,0.0151,25.37,0.12,0.13,0.11,17.3,32.5,102.7
1782712914.342,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0142,0.0142,0.0146,25.36,0.04,0.04,0.04,0.0,0.0,0.0
1782712919.353,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0137,0.0146,0.0151,25.36,0.03,0.04,0.03,0.0,0.0,0.0
1782712924.361,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0137,0.0137,0.0146,25.36,0.0,0.0,0.0,0.0,0.0,0.0
1782712929.368,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0146,0.0146,0.0146,25.36,0.04,0.04,0.04,0.0,0.0,0.0
1782712934.377,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0137,0.0137,0.0142,25.36,0.04,0.04,0.03,0.0,0.0,0.0
1782712939.383,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0137,0.0137,0.0146,25.35,0.01,0.01,0.0,0.0,0.0,0.0
1782712944.39,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0132,0.0137,0.0146,25.35,0.07,0.08,0.07,0.0,0.0,0.0
1782712949.4,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0137,0.0132,0.0146,25.35,0.0,0.0,0.0,0.0,0.0,0.0
1782712954.404,0.001,0.001,0.001,0.6006,0.7954,0.0298,0.0142,0.0142,0.0151,25.35,0.25,0.27,0.22,78.1,33.0,27.2
1782712959.414,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0137,0.0137,0.0166,25.35,0.03,0.03,0.03,118.1,32.7,88.8
1782712964.422,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0137,0.0142,0.0146,25.34,0.04,0.04,0.03,24.0,32.7,99.9
1782712969.428,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0142,0.0142,0.0142,25.34,0.0,0.0,0.0,0.0,0.0,0.0
1782712974.436,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0142,0.0137,0.0146,25.34,0.0,0.0,0.0,0.0,0.0,0.0
1782712979.444,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0137,0.0146,0.0146,25.34,0.0,0.0,0.0,0.0,0.0,0.0
1782712984.453,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0132,0.0142,0.0146,25.33,0.0,0.0,0.0,0.0,0.0,0.0
1782712989.461,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0137,0.0146,0.0146,25.33,0.0,0.0,0.0,0.0,0.0,0.0
1782712994.468,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0146,0.0146,0.0151,25.33,0.0,0.0,0.0,0.0,0.0,0.0
1782712999.477,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0137,0.0146,0.0146,25.33,0.0,0.0,0.0,0.0,0.0,0.0
1782713004.482,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0142,0.0137,0.0151,25.33,0.0,0.0,0.0,0.0,0.0,0.0
1782713009.494,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0142,0.0142,0.0151,25.33,0.0,0.0,0.0,0.0,0.0,0.0
1782713014.504,0.001,0.001,0.001,0.6006,0.7954,0.0298,0.0137,0.0151,0.0146,25.33,0.28,0.3,0.24,105.4,32.7,21.3
1782713019.516,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0137,0.0146,0.0146,25.33,0.0,0.0,0.0,0.0,0.0,0.0
1782713024.527,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0142,0.0142,0.0142,25.33,0.0,0.0,0.0,0.0,0.0,0.0
1782713029.54,0.001,0.001,0.001,0.6006,0.7954,0.0298,0.0137,0.0142,0.0151,25.33,0.07,0.07,0.06,0.0,0.0,0.0
1782713034.548,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0142,0.0146,0.0156,25.33,0.17,0.18,0.16,0.0,0.0,46.1
1782713039.554,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0146,0.0142,0.0137,25.34,0.11,0.12,0.1,0.0,0.0,0.0
1782713044.56,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0142,0.0146,0.0161,25.34,0.13,0.15,0.12,100.9,31.2,51.6
1782713049.569,0.0,0.001,0.0,0.6006,0.7954,0.0298,0.0142,0.0156,0.0142,25.34,0.19,0.22,0.18,17.6,32.7,85.1
1782713054.579,0.012,0.013,0.011,0.6006,0.7954,0.0298,0.0137,0.0156,0.0156,25.34,0.39,0.42,0.37,30.0,32.5,4.9
1782713059.589,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0137,0.0142,0.0151,25.34,0.0,0.0,0.0,0.0,0.0,0.0
1782713064.597,0.0,0.0,0.0,0.6006,0.7954,0.0298,0.0146,0.0146,0.0142,25.34,0.0,0.0,0.0,0.0,0.0,0.0
