timestamp,位移X,位移Y,位移Z,加速度X,加速度Y,加速度Z,加速度幅值X,加速度幅值Y,加速度幅值Z,温度,速度X,速度Y,速度Z,频率X,频率Y,频率Z
1783562784.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.73,0.0,0.0,0.0,0.0,0.0,0.0
1783562785.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.73,0.0,0.0,0.0,0.0,0.0,0.0
1783562786.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.73,0.0,0.0,0.0,0.0,0.0,0.0
1783562787.506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.73,0.0,0.0,0.0,0.0,0.0,0.0
1783562788.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.73,0.0,0.0,0.0,0.0,0.0,0.0
1783562789.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.73,0.0,0.0,0.0,0.0,0.0,0.0
1783562790.512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.73,0.0,0.0,0.0,0.0,0.0,0.0
1783562791.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.72,0.0,0.0,0.0,0.0,0.0,0.0
1783562792.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.73,0.0,0.0,0.0,0.0,0.0,0.0
1783562793.519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.72,0.0,0.0,0.0,0.0,0.0,0.0
1783562794.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.72,0.0,0.0,0.0,0.0,0.0,0.0
1783562795.523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.72,0.0,0.0,0.0,0.0,0.0,0.0
1783562796.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.72,0.0,0.0,0.0,0.0,0.0,0.0
1783562797.527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.72,0.0,0.0,0.0,0.0,0.0,0.0
1783562798.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.72,0.0,0.0,0.0,0.0,0.0,0.0
1783562799.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.72,0.0,0.0,0.0,0.0,0.0,0.0
1783562800.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.72,0.0,0.0,0.0,0.0,0.0,0.0
1783562801.537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.72,0.0,0.0,0.0,0.0,0.0,0.0
1783562802.539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.71,0.0,0.0,0.0,0.0,0.0,0.0
1783562803.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.71,0.0,0.0,0.0,0.0,0.0,0.0
1783562804.543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.71,0.0,0.0,0.0,0.0,0.0,0.0
1783562805.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.71,0.0,0.0,0.0,0.0,0.0,0.0
1783562806.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.71,0.0,0.0,0.0,0.0,0.0,0.0
1783562807.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.71,0.0,0.0,0.0,0.0,0.0,0.0
1783562808.551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.71,0.0,0.0,0.0,0.0,0.0,0.0
1783562809.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.71,0.0,0.0,0.0,0.0,0.0,0.0
1783562810.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.71,0.0,0.0,0.0,0.0,0.0,0.0
1783562811.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.71,0.0,0.0,0.0,0.0,0.0,0.0
1783562812.558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.71,0.0,0.0,0.0,0.0,0.0,0.0
1783562813.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.71,0.0,0.0,0.0,0.0,0.0,0.0
1783562814.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0
1783562815.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0
1783562816.567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.71,0.0,0.0,0.0,0.0,0.0,0.0
1783562817.569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0
